direction,method,scenario,seeds,n,auroc,auprc,brier,ece
Pocket2Mol_within,lightgbm_early,missing_risk,3,256.0,0.9811799070324068,0.99203868792661,0.0171719452623143,0.019266950249344
Pocket2Mol_within,lightgbm_early,missing_validity,3,256.0,0.8044593372257466,0.9135674747703892,0.0863808112328214,0.0875668805418005
Pocket2Mol_within,logistic_stacking,full,3,256.0,0.9600624802941696,0.9874777254809296,0.0903458976526433,0.1144308936302863
Pocket2Mol_within,logistic_stacking,missing_chemistry,3,256.0,0.9507007480053932,0.9857295769908428,0.0921678439369851,0.1043493097065018
Pocket2Mol_within,logistic_stacking,missing_geometry,3,256.0,0.9521783110974016,0.9841285461397954,0.1055496019258816,0.1330164447294559
Pocket2Mol_within,logistic_stacking,missing_risk,3,256.0,0.7613795971187377,0.910143543078961,0.1073926522858429,0.0397706652011843
Pocket2Mol_within,logistic_stacking,missing_validity,3,256.0,0.7786230094467596,0.9087141982897896,0.1454427369730348,0.1403531832532626
Pocket2Mol_within,xgboost_early,full,3,256.0,0.9822483995910188,0.9915496026143108,0.0118527083531406,0.013953122653523
Pocket2Mol_within,xgboost_early,missing_chemistry,3,256.0,0.982825026624224,0.9902094214094218,0.012323383842212,0.0127931027592845
Pocket2Mol_within,xgboost_early,missing_geometry,3,256.0,0.8858380792727799,0.9531621910029586,0.121625775043756,0.1236564860895062
Pocket2Mol_within,xgboost_early,missing_risk,3,256.0,0.9836060763968538,0.9931622975276228,0.0156024405165204,0.0196026258757531
Pocket2Mol_within,xgboost_early,missing_validity,3,256.0,0.8151942201762323,0.920733506967598,0.0817766498733818,0.0821700873760467
